,Date / Time,City,State,Shape,Shape,views
301,1/24/98 15:20,Leander,TX,Cylinder,Cylinder,1370
302,1/24/98 09:30,San Bernardino,CA,Sphere,Sphere,5884
303,1/24/98 05:45,Kaneohe,HI,Triangle,Triangle,8330
304,1/23/98 21:00,Alberton,MT,Circle,Circle,9315
305,1/23/98 18:05,Holstein/Heartwell (In country between),NE,Triangle,Triangle,8330
306,1/21/98 22:00,Goldsboro (north of),NC,Formation,Formation,2864
307,1/19/98 06:50,Tucson,AZ,Other,Other,5932
308,1/18/98 19:30,La Grande,OR,Circle,Circle,9315
309,1/15/98 20:30,Fargo,ND,Fireball,Fireball,7536
310,1/15/98 19:00,Grants Pass,OR,Triangle,Triangle,8330
311,1/15/98 13:00,Alaska (remote),AK,Disk,Disk,4300
312,1/15/98 05:30,Daytona Beach,FL,Light,Light,18879
313,1/15/98 05:00,Lake City,CO,Light,Light,18879
314,1/15/98 01:00,Neshanic Station,NJ,Light,Light,18879
315,1/15/98 01:00,New York City (Manhattan),NY,Formation,Formation,2864
316,1/14/98 21:00,Litchfield Park,AZ,Triangle,Triangle,8330
317,1/13/98 20:40,Goodyear,AZ,Light,Light,18879
318,1/13/98 01:00,Minot,ND,Fireball,Fireball,7536
319,1/11/98 20:10,Rachel,NV,Disk,Disk,4300
320,1/11/98 06:55,Cape May,NJ,Light,Light,18879
321,1/11/98 06:55,Middletown,NJ,Fireball,Fireball,7536
322,1/11/98 00:10,"Colorado Springs (north of, on I-25)",CO,Fireball,Fireball,7536
323,1/10/98 22:10,Saginaw,MI,Light,Light,18879
324,1/10/98 17:00,Bremerton (over),WA,Light,Light,18879
325,1/10/98 10:00,Beals,ME,Circle,Circle,9315
326,1/9/98 20:00,Cape Coral,FL,Light,Light,18879
327,1/9/98 18:30,Pottstown,PA,Triangle,Triangle,8330
328,1/8/98 22:38,Fairbanks,AK,Oval,Oval,3862
329,1/8/98 20:00,"Satellite Point (near, midway between Orlando & Boca)",FL,Changing,Changing,2275
330,1/8/98 20:00,Chico,CA,Oval,Oval,3862
331,1/8/98 17:00,Petoskey,MI,Light,Light,18879
332,1/7/98 23:30,New York City (Brooklyn),NY,Diamond,Diamond,1313
333,1/7/98 16:10,Renton,WA,Sphere,Sphere,5884
334,1/6/98 18:00,Camarillo,CA,Other,Other,5932
335,1/5/98 20:00,Hudson,NY,Triangle,Triangle,8330
336,1/5/98 16:15,Phelan,CA,Other,Other,5932
337,1/5/98 15:50,Highland,CA,Other,Other,5932
338,1/4/98 23:45,Nashville,TN,Circle,Circle,9315
339,1/3/98 02:30,"I-90 (westbound, just before the mountains)",WA,Sphere,Sphere,5884
340,1/1/98 23:00,Milwaukee/West Allis/West Milwaukee,WI,Changing,Changing,2275
341,1/1/98 20:30,Coxsacke,NY,Light,Light,18879
342,1/1/98 20:00,Graniteville,SC,Disk,Disk,4300
343,1/1/98 13:00,Cannon AFB,NM,Diamond,Diamond,1313
344,1/1/98 13:00,Baton Rouge,LA,Circle,Circle,9315
345,1/1/98 12:58,St. Louis,MO,Flash,Flash,1684
346,1/1/98 07:30,Pittsburgh,PA,Formation,Formation,2864
347,1/1/98 06:00,Hoboken,NJ,Disk,Disk,4300
348,1/1/98 04:00,Huelo,HI,Light,Light,18879
349,1/1/98 02:00,Elizabethtown,IL,Triangle,Triangle,8330
350,1/1/98 01:42,Allentown,PA,Light,Light,18879
351,1/1/98 00:58,St. Louis,MO,Flash,Flash,1684
352,2/28/98 19:15,North Highlands,CA,Light,Light,18879
353,2/27/98 22:30,Vancouver,WA,Circle,Circle,9315
